S. No.,Year ,Name of Work,Sanctioned Cost in Rs Lakh
1,2018-19,Widening and Strengthening of Sarkhej Dholka Road Km. 16/80 to 39/60,4670
2,2018-19,Widening and Strengthening of Bavia Rupal Begva Road (km 0/0 to 22/80),2681
3,2018-19,Construction of River Over Bridge on Ahmedabad Paldi Navapura Saroda Dholka Road (km 14/20 to 39/20) (sec 26/60 to 27/60),3904
4,2018-19,Widening of Piplav Changa Ramol Road Km.0/0 to 14/00,1900
5,2018-19,Bhalej Ode Ahima Road Km. 010 to 14/70,2000
6,2018-19,Vadtal Zole Bakrol Road Km. 0/0 to 9/100,600
7,2018-19,Widening of Tarakpur Mitali Galena Road Km.0/0 to 11/20,1525.47
8,2018-19,Construction of New Bypass Road for Aanand - From NH 48 to NH 228 to SH 139 to Near Karamasad Tank to SH 83 (Avkuda New link NH-48 to Anand City SHŁ83),5000
9,2018-19,Widening and Strengthening of Kheda - Dholaka - Rasikpura Road (Km. 36.60 to 53.20),6111
10,2018-19,"Widening and Strengthening of Maya Taband Harsol Gambhoi Road, Km 0/0 to 56/80, SH 143 (Section- Harsol to Gambhoi, Km 23/40 to 56/80)",5500
11,2018-19,"Widening and Strengthening of Idar - Barvav - Sabalwad -Bhavangadh - Raheda - Vasan road, ODR, Km 0/0 to 12/60",2000
12,2018-19,Widening and Strengthening of Himatnagar 11011 Davad Deshotar Road KM. 0/00 to 26/50,4000
13,2018-19,Widening and Strengthening of Bhiloda Chithoda Pal Road 0/00 To 18/00,2499.51
14,2018-19,Widening and Strengthening of Bayad - Gabat Ubharan Road km 0/00 to 16/80,2300.7
15,2018-19,Widening and Strengthening of Balasinor - Parabia - Amodara - Joining to Kapadvanj -Bayad Road Km 0/00 to 13/00 Ta: Bayad Dist : Aravalli,1209.69
16,2018-19,Widening of Valam - Vadu - Bhandu - Dhinoj - Motap - Mitha - Kadi Road Km 0/0 to 63/00 (Section km 0/0 to 13/00),2846.07
17,2018-19,Reconstruction of Bridge (Four Lane) at km 60/00 Viramgam - Becharaji - Chanasma - Patan - Deesa Road km 43/40 to 61/30,1200
18,2018-19,Widening and Strengthening of Valasana Hadol Khodamali Dharoi Road Km. 0/00 to 22/07,2899.96
19,2018-19,Widening and Strengthening of Viramgam - Becharaji - Modhera - Chanasma Road Km. 61/3 to 74/0,5620
20,2018-19,Widening and Strengthening of Khimana - Deodar Road Km. 0/0 to 37/200,3800
21,2018-19,Widening and Strengthening of Radhanpur - Lodra - Morwada- Suigam Road SH No. 861 Km. 25/0 to 43/877,1650
22,2018-19,Mandvi-Gundiyali- Zarpara Mundra Road Km.0/0 to 39/0 (Section 0/00 to 19/00 KM),3057.56
23,2018-19,Strengthening of Chitrod Rapar Dholavira Road KM. 0/00 to 109/00 (Section 0/00 to 57/00),5000
24,2018-19,Widening and Strengthening Babaliya Bakor Pandrawada Ditwas Road Km.0/0 to 27/20,3999.8
25,2018-19,Widening and Strenthening Limadiya Khanpur Munpur Road KM. 0/00 to 25/30,4499.91
26,2018-19,Widening and Strenthening Lunawada Malekpur Divada colony Road KM. 0/00 to 27/28,4499.5
27,2018-19,Widening and Strenthening Paniya- Bandibar- Kesarpur Road KM.0/0 to 10/0,594.08
28,2018-19,Widening and Strenthening Jesawada- Dhanpur Road Km 14/20 to 33/40,1166.55
29,2018-19,Widening and Strenthening Limkheda- Umaria-Dhanpur Limadia Road up to Boundary Km 0/00 to 34/20,1885.75
30,2018-19,Widening and Strengthening of Jaghagirpura Variyav Navipardi Road Km.10/0 to 21/825.,3994
31,2018-19,Strenghtening of Mandvi-Sherulla Road KM. 0/0 to 28/0 (Working section km 0/0 to 14/0),1414.15
32,2018-19,"Vyara - Kherwada road, Km. 0/0 to 17/69",1999.49
33,2018-19,Widening and Strengthening of Karod Mohini Tavali Road km. Km 0/0 to 12/00,1500.08
34,2018-19,Widening and Strengthening of Pimpari Kalibel Bhenskatri Road Km. 0/00 to 28/40,4000
35,2018-19,Dharampur - Awaciha - Bildha Road Km. 0/0 to 37/40 (0/0 to 11/0 - SH and 11/0 to 37/40 - MDR,5192.87
36,2018-19,Widening and Strengthening upto standard two lane of Rajkot Kalawad Road KM 18/30 to 26/00,1399.38
37,2018-19,Widening and Strengthening of Atkot- Jasdan Road km 203/00 to 208/60,1547.18
38,2018-19,Widening and Strengthening of Kalasar- Ghelasomnath Road km 0/00 to 14/20,2135.19
39,2018-19,Strengthening and Resurfacing of Dhrol Latipar Savadi Tankara Road Krn.1/0 to 19/20,1406.66
40,2018-19,Strengthening to Jamnagar Lalpur Porbandar Road SH -27 Km.6/15 to 40/00,3258
41,2018-19,Strengthening To Khambhalia Adwana Porbandar Road Km. 33/2 to 71/00,3264.42
42,2018-19,Widening and Strengthening Lakhtar - Shiyani-Limbdi Road Km. 18/0 to 35/0,2000
43,2018-19,Widening and Strengthening Suravadar Devalia Charadava Road KM. 0/00 to 17/70,2598.47
44,2018-19,Strengthening of Barwala Navda Hebatpur Rupavati Road Km.0/0 to 16/50,660.92
45,2018-19,Widening and Strengthening of Savarkundla- Ranghola Road Ch. Km. 0/00 to 57/25,7174.99
46,2018-19,Widening and Strengthening of Victor-Dungar- Aasrana Road Ch. KM. 4/40 to 23/20.,2398
47,2018-19,Widening and Strengthening of Porbandar- Adityana-Ranavav Road Ch. Km. 0/00 to 17/30,2500
48,2018-19,Widening and Strengthening of Agatrai-Akha- Tikar-Manavadar Road Ch. Km. 4/00 to 20/10,1900
49,2018-19,Widening and Strengthening of Manavadar- Sardargadh-Chudva Road Ch. Km. 0/00 to 17/50,1700
50,2018-19,Widening and Strengthening of Melia- Mendarada Road Ch. KM. 0/00 to 26/45,2300
51,2018-19,Widening and Strengthening of Malliya-Keral- Sarkadiya-Vandatvad-Babara-Ladudi Road KM. 0/00 to 14/56,1050
52,2018-19,Widening and Strengthening of Bhavanagar Koliak Hathab Sosiya Road KM. 33/70 to 46/78,1499
53,2018-19,Four Lanning of Kaloi-Nardipur-Mansa Road km. 2/00 to 26/00,6552
54,2018-19,Four lanning of Naroda Dehgam Harsol Dhansura Road km. 22/50 to 35/450,4000
55,2019-20,NA,NA
56,2020-21,NA,NA
57,2021-22,NA,NA
58,2022-23,NA,NA
Total,Total,Total,156065.4
